names	achrom_contrast_bees	transect	zone	zone2
T1_360	0.336174627	2	hybrid	hybrid2
T1_361	0.204395872	2	hybrid	hybrid2
T1_362	0.269816337	2	hybrid	hybrid2
T1_363	0.039597766	2	hybrid	hybrid2
T1_364	0.245971755	2	hybrid	hybrid2
T1_365	0.354925315	2	hybrid	hybrid2
T1_366	0.034599373	2	hybrid	hybrid2
T1_367	0.339575102	2	hybrid	hybrid2
T1_368	0.308594087	2	hybrid	hybrid2
T1_369	0.252535695	2	hybrid	hybrid2
T1_370	0.178919111	2	hybrid	hybrid2
T1_371	0.273878035	2	hybrid	hybrid2
T1_372	0.272280472	2	hybrid	hybrid2
T1_373	0.296117739	2	hybrid	hybrid2
T1_374	0.294880357	2	hybrid	hybrid2
T1_375	0.276888033	2	hybrid	hybrid2
T1_377	0.283823074	2	hybrid	hybrid2
T1_378	0.286962153	2	hybrid	hybrid2
T1_380	0.251477072	2	hybrid	hybrid2
T1_381	0.278570387	2	hybrid	hybrid2
T1_382	0.294850212	2	hybrid	hybrid2
T1_384	0.271032287	2	hybrid	hybrid2
T1_385	0.273613361	2	hybrid	hybrid2
T1_386	0.277662683	2	hybrid	hybrid2
T1_387	0.309263383	2	hybrid	hybrid2
T1_388	0.133145757	2	hybrid	hybrid2
T1_391	0.271704287	2	hybrid	hybrid2
T1_392	0.262210614	2	hybrid	hybrid2
T1_393	0.302056717	2	hybrid	hybrid2
T1_179	0.177727061	1	purple	purple1
T1_180	0.286142288	1	purple	purple1
T1_181	0.163845665	1	purple	purple1
T1_182	0.133118168	1	purple	purple1
T1_183	0.200906323	1	purple	purple1
T1_184	0.214995338	1	purple	purple1
T1_185	0.220113171	1	purple	purple1
T1_186	0.181665673	1	purple	purple1
T1_187	0.313156365	1	purple	purple1
T1_188	0.299717207	1	purple	purple1
T1_189	0.252555242	1	purple	purple1
T1_190	0.256144725	1	purple	purple1
T1_191	0.27454658	1	purple	purple1
T1_192	0.22671657	1	purple	purple1
T1_193	0.166324891	1	purple	purple1
T1_194	0.367436167	1	purple	purple1
T1_195	0.229316131	1	purple	purple1
T1_196	0.196412334	1	purple	purple1
T1_197	0.247746785	1	purple	purple1
T1_198	0.296002958	1	purple	purple1
T1_199	0.312540475	1	purple	purple1
T1_200	0.26569456	1	purple	purple1
T1_201	0.267046416	1	purple	purple1
T1_202	0.198417749	1	purple	purple1
T1_203	0.301075705	1	purple	purple1
T1_204	0.254202444	1	purple	purple1
T1_205	0.245066491	1	purple	purple1
