wl	s	m	l
527	0.256	0.969	0.096
528	0.254	0.964	0.098
529	0.253	0.958	0.1
530	0.251	0.953	0.103
531	0.25	0.945	0.105
532	0.248	0.938	0.108
533	0.246	0.93	0.11
534	0.244	0.921	0.112
535	0.242	0.914	0.114
536	0.239	0.908	0.116
537	0.237	0.901	0.121
538	0.235	0.894	0.126
539	0.232	0.884	0.131
540	0.23	0.874	0.135
541	0.227	0.865	0.139
542	0.225	0.855	0.143
543	0.223	0.845	0.147
544	0.221	0.835	0.152
545	0.218	0.824	0.157
546	0.216	0.813	0.162
547	0.214	0.801	0.167
548	0.211	0.789	0.172
549	0.207	0.778	0.176
550	0.204	0.767	0.181
551	0.201	0.756	0.186
552	0.198	0.746	0.191
553	0.196	0.735	0.196
554	0.193	0.724	0.203
555	0.191	0.713	0.211
556	0.188	0.698	0.22
557	0.186	0.683	0.229
558	0.183	0.671	0.237
559	0.179	0.659	0.245
560	0.175	0.647	0.253
561	0.171	0.634	0.26
562	0.167	0.615	0.269
563	0.163	0.601	0.278
564	0.16	0.589	0.287
565	0.157	0.577	0.295
566	0.154	0.565	0.305
567	0.151	0.553	0.318
568	0.147	0.541	0.331
569	0.144	0.529	0.341
570	0.14	0.516	0.352
571	0.136	0.504	0.362
572	0.132	0.49	0.373
573	0.129	0.475	0.384
574	0.126	0.461	0.399
575	0.123	0.449	0.413
576	0.119	0.437	0.421
577	0.116	0.426	0.431
578	0.113	0.414	0.446
579	0.111	0.405	0.459
580	0.108	0.395	0.472
581	0.105	0.386	0.486
582	0.102	0.377	0.501
583	0.099	0.365	0.515
584	0.095	0.352	0.529
585	0.092	0.339	0.544
586	0.089	0.326	0.559
587	0.086	0.315	0.575
588	0.084	0.305	0.589
589	0.081	0.294	0.603
590	0.078	0.283	0.618
591	0.076	0.274	0.638
592	0.074	0.264	0.652
593	0.072	0.255	0.666
594	0.07	0.246	0.677
595	0.068	0.238	0.688
596	0.065	0.23	0.699
597	0.063	0.223	0.719
598	0.06	0.216	0.734
599	0.058	0.209	0.746
600	0.055	0.2	0.764
601	0.053	0.191	0.781
602	0.05	0.182	0.792
603	0.049	0.174	0.803
604	0.047	0.166	0.814
605	0.045	0.159	0.825
606	0.043	0.151	0.836
607	0.041	0.145	0.847
608	0.04	0.14	0.856
609	0.038	0.134	0.865
610	0.037	0.129	0.876
611	0.035	0.123	0.889
612	0.034	0.117	0.899
613	0.033	0.111	0.909
614	0.032	0.105	0.924
615	0.031	0.1	0.933
616	0.03	0.095	0.94
617	0.029	0.09	0.947
618	0.027	0.085	0.953
619	0.026	0.082	0.958
620	0.025	0.079	0.964
621	0.024	0.075	0.969
622	0.022	0.072	0.974
623	0.021	0.069	0.978
624	0.02	0.065	0.982
625	0.019	0.062	0.987
626	0.018	0.059	0.989
627	0.017	0.056	0.989
628	0.017	0.053	0.99
629	0.016	0.05	0.991
630	0.015	0.047	0.992
631	0.015	0.045	0.993
632	0.014	0.043	0.992
633	0.013	0.042	0.99
634	0.012	0.04	0.988
635	0.012	0.038	0.986
636	0.011	0.036	0.982
637	0.01	0.034	0.979
638	0.009	0.032	0.975
639	0.009	0.031	0.971
640	0.008	0.029	0.965
641	0.008	0.027	0.959
642	0.007	0.026	0.952
643	0.007	0.024	0.946
644	0.007	0.023	0.939
645	0.006	0.021	0.931
646	0.006	0.02	0.923
647	0.005	0.019	0.916
648	0.005	0.018	0.906
649	0.004	0.017	0.894
650	0.004	0.016	0.883
651	0.004	0.015	0.87
652	0.003	0.014	0.858
653	0.003	0.013	0.845
654	0.003	0.012	0.833
655	0.002	0.011	0.822
656	0.002	0.01	0.81
657	0.001	0.01	0.798
658	0.001	0.009	0.787
659	0.001	0.009	0.775
660	0	0.009	0.76
661	0	0.008	0.745
662	0	0.008	0.735
663	0	0.007	0.725
664	0	0.007	0.712
665	0	0.007	0.692
666	0	0.006	0.672
667	0	0.005	0.656
668	0	0.005	0.639
669	0	0.004	0.622
670	0	0.004	0.606
671	0	0.003	0.593
672	0	0.003	0.581
673	0	0.002	0.566
674	0	0.002	0.547
675	0	0.001	0.53
676	0	0.001	0.515
677	0	0	0.501
678	0	0	0.489
679	0	0	0.477
680	0	0	0.465
681	0	0	0.454
682	0	0	0.443
683	0	0	0.429
684	0	0	0.416
685	0	0	0.402
686	0	0	0.39
687	0	0	0.378
688	0	0	0.366
689	0	0	0.351
690	0	0	0.334
691	0	0	0.321
692	0	0	0.311
693	0	0	0.301
694	0	0	0.291
695	0	0	0.282
696	0	0	0.275
697	0	0	0.268
698	0	0	0.262
699	0	0	0.255
700	0	0	0.248
