Data from T2__Reflection__32__23-40-05-926.txt Node

Date: Tue Jun 01 23:40:05 CEST 2021
User: mabdelazizm
Spectrometer: FLMS18565
Trigger mode: 0
Integration Time (sec): 2.000000E0
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 12
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
300.422	0.1
300.789	0.14
301.157	0.22
301.525	0.19
301.892	0.27
302.26	0.17
302.627	0.09
302.994	0.02
303.362	0.02
303.729	-0.01
304.097	-0.04
304.464	-0.02
304.831	-0.01
305.198	-0.03
305.565	-0.01
305.932	0
306.299	-0.02
306.666	0.05
307.033	0.11
307.4	0.02
307.767	0.03
308.134	-0.03
308.501	-0
308.867	0.06
309.234	0.04
309.601	0.04
309.967	0.02
310.334	-0.03
310.701	0.03
311.067	-0.04
311.433	-0
311.8	-0.03
312.166	-0.02
312.533	-0.01
312.899	0.05
313.265	0.14
313.631	0.14
313.997	0.11
314.363	0.1
314.729	0.11
315.096	0.08
315.461	0.06
315.827	0.1
316.193	0.11
316.559	0.13
316.925	0.13
317.291	0.16
317.656	0.09
318.022	0.05
318.388	0.03
318.753	0.02
319.119	0.03
319.484	0.04
319.85	-0.03
320.215	-0.02
320.581	-0
320.946	0.03
321.311	0.01
321.676	-0.05
322.042	-0.12
322.407	-0.13
322.772	-0.15
323.137	-0.22
323.502	-0.2
323.867	-0.23
324.232	-0.17
324.597	-0.1
324.962	-0.14
325.327	-0.11
325.691	-0.08
326.056	-0.04
326.421	-0.12
326.785	-0.16
327.15	-0.15
327.514	-0.14
327.879	-0.16
328.243	-0.22
328.608	-0.25
328.972	-0.26
329.337	-0.27
329.701	-0.4
330.065	-0.41
330.429	-0.39
330.794	-0.35
331.158	-0.31
331.522	-0.38
331.886	-0.33
332.25	-0.31
332.614	-0.33
332.978	-0.32
333.342	-0.33
333.705	-0.27
334.069	-0.27
334.433	-0.3
334.797	-0.32
335.16	-0.42
335.524	-0.44
335.887	-0.43
336.251	-0.41
336.614	-0.37
336.978	-0.27
337.341	-0.33
337.705	-0.37
338.068	-0.31
338.431	-0.25
338.794	-0.12
339.158	-0.17
339.521	-0.12
339.884	-0.09
340.247	-0.11
340.61	-0.07
340.973	-0.1
341.336	-0.07
341.699	-0.03
342.062	-0.05
342.424	-0.07
342.787	-0.14
343.15	-0.13
343.512	-0.07
343.875	-0.09
344.238	-0.06
344.6	0.04
344.963	0.1
345.325	0.08
345.688	-0.02
346.05	-0.11
346.412	0.01
346.775	0.08
347.137	0.1
347.499	0.07
347.861	-0.02
348.223	0.01
348.585	-0.02
348.947	-0.1
349.309	-0.07
349.671	-0.02
350.033	0.02
350.395	-0.02
350.757	-0.08
351.118	-0.01
351.48	0
351.842	-0.05
352.203	-0.05
352.565	-0.15
352.927	-0.19
353.288	-0.18
353.65	-0.31
354.011	-0.33
354.372	-0.34
354.734	-0.37
355.095	-0.41
355.456	-0.4
355.817	-0.49
356.179	-0.42
356.54	-0.46
356.901	-0.42
357.262	-0.34
357.623	-0.38
357.984	-0.32
358.345	-0.3
358.705	-0.35
359.066	-0.41
359.427	-0.36
359.788	-0.32
360.148	-0.34
360.509	-0.35
360.87	-0.34
361.23	-0.46
361.591	-0.44
361.951	-0.34
362.312	-0.4
362.672	-0.27
363.032	-0.26
363.393	-0.21
363.753	-0.13
364.113	-0.07
364.473	-0.11
364.833	-0.04
365.193	-0.12
365.553	-0.06
365.913	-0.03
366.273	-0.07
366.633	-0.05
366.993	-0.08
367.353	-0.1
367.713	-0.16
368.072	-0.18
368.432	-0.2
368.792	-0.17
369.151	-0.16
369.511	-0.19
369.87	-0.13
370.23	-0.08
370.589	-0.04
370.949	-0.05
371.308	0.01
371.667	-0.11
372.027	-0.16
372.386	-0.23
372.745	-0.28
373.104	-0.29
373.463	-0.26
373.822	-0.21
374.181	-0.27
374.54	-0.28
