Transecto	Zona	Zona2	Muestra	A450nm	A653nm	A0.24x653nm	A450-0.24x653	Area_petalo	Abs_corrected_area
2	M	M2	454	1.0644	0.1033	0.024792	0.9611	5.31	0.180998117
2	M	M2	456	0.386	0.1037	0.024888	0.2823	6.09	0.04635468
2	M	M2	457	0.1789	0.0552	0.013248	0.1237	6.02	0.020548173
2	M	M2	458	0.7195	0.0877	0.021048	0.6318	5.13	0.123157895
2	M	M2	459	1.189	0.1328	0.031872	1.0562	5.16	0.204689922
2	M	M2	460	1.0878	0.1021	0.024504	0.9857	4.6	0.214282609
2	M	M2	461	1.3352	0.1055	0.02532	1.2297	5.68	0.216496479
2	M	M2	462	1.0221	0.0745	0.01788	0.9476	5.18	0.182934363
2	M	M2	463	0.2516	0.0958	0.022992	0.1558	5.86	0.026587031
2	M	M2	464	0.3486	0.0569	0.013656	0.2917	7.62	0.03828084
2	M	M2	465	0.2831	0.0813	0.019512	0.2018	6.95	0.029035971
2	M	M2	466	0.5956	0.1011	0.024264	0.4945	5.18	0.09546332
2	M	M2	467	0.2431	0.0986	0.023664	0.1445	6.85	0.021094891
2	M	M2	468	0.395	0.0758	0.018192	0.3192	5.5	0.058036364
2	M	M2	469	0.4915	0.0867	0.020808	0.4048	6.77	0.059793205
2	M	M2	470	0.5975	0.0858	0.020592	0.5117	5.69	0.089929701
2	M	M2	471	0.6723	0.0555	0.01332	0.6168	4.85	0.127175258
2	M	M2	472	0.6196	0.047	0.01128	0.5726	5.56	0.102985612
2	M	M2	473	0.0139	0.056	0.01344	-0.0421	5.34	-0.007883895
2	M	M2	474	0.107	0.0231	0.005544	0.0839	7.14	0.0117507
2	M	M2	475	0.4152	0.0189	0.004536	0.3963	6.28	0.063105096
2	M	M2	476	0.0246	0.0735	0.01764	-0.0489	6.21	-0.007874396
2	M	M2	477	0.756	0.0334	0.008016	0.7226	6.19	0.116736672
2	M	M2	478	0.2289	0.0114	0.002736	0.2175	5.87	0.037052811
2	M	M2	479	0.6469	0.0281	0.006744	0.6188	6.72	0.092083333
2	M	M2	480	0.2998	0.0157	0.003768	0.2841	6.2	0.045822581
